id,original_title,title,bag_of_words
1412,Transformers,Transformers,Adventure ScienceFiction Action Español English ParamountPictures DreamWorksSKG AmblinEntertainment DiBonaventuraPictures PlatinumDunes thinkfilm SprocketHeads HasbroStudios RevolutionSunStudios ShiaLaBeouf JoshDuhamel MeganFox RachaelTaylor TyreseGibson JonVoight JohnTurturro MichaelBay AlexKurtzman AlexKurtzman RobertoOrci RobertoOrci JohnRogers destroy transformation alien basedontoy transformers robot duringcreditsstinger teenagehero 
1413,I Now Pronounce You Chuck & Larry,I Now Pronounce You Chuck & Larry,Comedy Romance English UniversalPictures HappyMadisonProductions AdamSandler KevinJames JessicaBiel DanAykroyd VingRhames SteveBuscemi NicholasTurturro JimTaylor BarryFanaro AlexanderPayne DennisDugan comingout firemen single pretendrelationship 
1414,Across the Universe,Across the Universe,Adventure Drama Music Romance English RevolutionStudios TeamTodd EvanRachelWood JimSturgess JoeAnderson DanaFuchs MartinLuther T.V.Carpio SpencerLiff JulieTaymor DickClement IanLaFrenais riot protest musical music culturaldifference university fantasysequence antiwar policearrest march womandirector 1960s 
1415,The Dawn Patrol,The Dawn Patrol,Action War Drama English FirstNationalPictures RichardBarthelmess DouglasFairbanksJr. NeilHamilton FrankMcHugh ClydeCook JamesFinlayson HowardHawks HowardHawks HowardHawks SetonI.Miller JohnMonkSaunders DanTotheroh 
1416,The Simpsons Movie,The Simpsons Movie,Animation Comedy Family English GracieFilms TwentiethCenturyFoxFilmCorporation DanCastellaneta JulieKavner NancyCartwright YeardleySmith HankAzaria HarryShearer KelseyGrammer DavidSilverman MattGroening JamesL.Brooks SamSimon JonVitti DavidMirkin MikeReiss AlJean GeorgeMeyer MikeScully IanMaxtone-Graham MattSelman JohnSwartzwelder fathersonrelationship lake springfield thesimpsons duffbeer garbage pig pollution environmentalprotectionagency quarantine alcoholism love alaska dysfunctionalfamily dysfunctionalmarriage ecology savinglives firstlove duringcreditsstinger donuts 
1417,No Reservations,No Reservations,Comedy English VillageRoadshowPictures CastleRockEntertainment WarnerBros. StorefrontPictures WVFilmsIII CatherineZeta-Jones AaronEckhart AbigailBreslin PatriciaClarkson JennyWade BobBalaban BríanF.O'Byrne SandraNettelbeck ScottHicks CarolFuchs italy competition lossofmother lossofsister newlove cook cooking restaurant barsandrestaurants motherrole funeral kitchen perfectionist 
1418,Wild Tigers I Have Known,Wild Tigers I Have Known,Drama Romance English MalcolmStumpf PatrickWhite FairuzaBalk KimDickens TomGilroy MaxParadise CamArcher CamArcher gay independentfilm comingofage 
1419,...Più forte ragazzi!,All the Way Boys,Adventure Action Comedy Italiano TigerFilm Delta AlexanderAllerson BudSpencer TerenceHill CyrilCusack ReinhardKolldehoff CarlosMuñoz RiccardoPizzuti GiuseppeColizzi GiuseppeColizzi BarbaraAlberti AmedeoPagani airplane fistfight thin diamond opal 
1420,Arctic Tale,Arctic Tale,Documentary Family English StarbucksEntertainment QueenLatifah BelénRueda AdamRavetch SarahRobertson LindaWoolverton MoseRichards KristinGore ice bravery instinct polarbear walrus rivalry survival family antarctic 
1421,Joshua,Joshua,Drama Thriller Horror English ATOPictures SamRockwell VeraFarmiga JacobKogan CeliaWeston DallasRoberts MichaelMcKean RandyRyan GeorgeRatliff GeorgeRatliff DavidGilbert childabuse baby brothersisterrelationship nanny mother-in-law bible intellectuallygifted malice sleeplesness psychoterror 
1422,Talk to Me,Talk to Me,Drama English TheMarkGordonCompany PelagiusFilm DonCheadle ChiwetelEjiofor TarajiP.Henson MartinSheen MikeEpps CedrictheEntertainer VondieCurtis-Hall KasiLemmons MichaelGenet RickFamuyiwa prison musicrecord manager soul hip-hop radiostation prisoner radio radiopresenter radiotransmission musical recordproducer music concert easylistening musictvprogramme musicfestival womandirector 
1423,Princesas,Princesses,Drama Español ReposadoProducciones Antena3Televisión Mediapro Canal+Espana CandelaPeña MicaelaNevárez MarianaCordero LlumBarrera VioletaPérez MònicaVanCampen FloraÁlvarez FernandoLeóndeAranoa FernandoLeóndeAranoa femalenudity women prostitute sex aids madrid depression solidarity immigration empowerment strongwoman future blowjob hope red-lightdisctrict staypermit punter femalefriendship friendship fellatio single unsimulatedsex illegalimmigrant racism sadist hivpositive madridspain offscreenrape 
1424,Die Höhle des gelben Hundes,The Cave of the Yellow Dog,Documentary Drama  Telepool BKMFilm Lüthje&SchneiderFilmproduktion HochschulefürFernsehenundFilmMünchen(HFF) ScheschFilmproduktion BatchuluunUrjindorj BuyandulamDaramdadi NansalBatchuluun NansalmaaBatchuluun ByambasurenDavaa ByambasurenDavaa tradition shepherd dailylife mythology family'sdailylife vagabund mongolia dog family womandirector 
1425,Abraham,Abraham,Drama Deutsch English BetaFilm QuintaCommunications Lube RichardHarris BarbaraHershey VittorioGassman CarolinaRosi AndreaProdan GottfriedJohn KevinMcNally JosephSargent RobertMcKee bible biography 
1426,The Kingdom,The Kingdom,Thriller Action Drama العربية English UniversalPictures ForwardPass RelativityMedia FilmWorks MDBFZweiteFilmgesellschaft JamieFoxx JenniferGarner ChrisCooper JasonBateman AliSuliman JeremyPiven AshrafBarhom PeterBerg MatthewMichaelCarnahan assassination assassin terrorist explosive fbi chase saudiarabia investigation police medicalexaminer terrorism fbiagent arab bombattack 
1427,Halloween,Halloween,Horror English DimensionFilms SpectacleEntertainmentGroup NightfallProductions MalcolmMcDowell BradDourif DaegFaerch TylerMane ScoutTaylor-Compton SheriMoonZombie WilliamForsythe DebraHill JohnCarpenter RobZombie RobZombie mask babysitter sadism psychopath escape cowardliness cruelty extremeviolence maniac reboot duringcreditsstinger disturbedchild michaelmyers 
1428,2 Days in Paris,2 Days in Paris,Comedy Romance English Français Deutsch 3LFilmproduktionGmbH PolarisFilmProductions&Finance TempêteSousUnCrâneProductions FocusFilms JulieDelpy AdamGoldberg DanielBrühl AdanJodorowsky AlexandreNahon AlbertDelpy AlexiaLandeau JulieDelpy JulieDelpy paris venice taxi italo-american photographer cultureclash taxidriver restaurantowner relationshipproblems photography independentfilm womandirector 
1429,Keoma,Keoma,Action Western Italiano UranosCinematografica FrancoNero WoodyStrode OlgaKarlatos GiovanniCianfriglia OrsoMariaGuerrini GabriellaGiacobbe AntonioMarsina JoshuaSinclair MinoRoli GeorgeEastman EnzoG.Castellari EnzoG.Castellari NicoDucci civilwar pileofdeadbodies spaghettiwestern 
1430,Taxi 4,Taxi 4,Action Comedy Français Apipoulaï SamyNaceri FrédéricDiefenthal EmmaWiklund EdouardMontoute Jean-ChristopheBouvet Jean-LucCouchard FrançoisDamiens LucBesson GérardKrawczyk marseille 
1431,Bordertown,Bordertown,Crime Drama Mystery English Deutsch Español MosaicMediaGroup ElNorteProductions NuyoricanProductions MobiusEntertainmentLtd. JenniferLopez MartinSheen AntonioBanderas MayaZapata SôniaBraga KatedelCastillo RandallBatinkoff GregoryNava GregoryNava corruption rape journalist threattodeath cuidadjuarez buriedalive suspense 
1432,"Ensemble, c'est tout",Hunting and Gathering,Romance Drama Français TF1FilmsProductions PathéDistribution AudreyTautou GuillaumeCanet LaurentStocker FrançoiseBertin DanièleLebrun Marie-FranceMignal BernardDhéran ClaudeBerri ClaudeBerri AnnaGavalda paris roommate cleaninglady cook grandmothergrandsonrelationship fracturedleg designer charity lovers kiss flu apartment 
1433,Planet Terror,Planet Terror,Horror Action Thriller English DimensionFilms RoseMcGowan NaveenAndrews MichaelBiehn JeffFahey JoshBrolin MarleyShelton JasonDouglas RobertRodriguez RobertRodriguez lossofchild militarybase gas grindhouse zombie splatter 
1434,Shoot 'Em Up,Shoot 'Em Up,Action Thriller Comedy Crime English Italiano NewLineCinema AngryFilms CliveOwen MonicaBellucci PaulGiamatti StephenMcHattie GregBryk DanielPilon SidneyMende-Gibson MichaelDavis MichaelDavis prostitute baby newlove hero ball chase dyinganddeath weapon shootout blood violence 
1435,Requiem,Requiem,Drama Horror Deutsch Arte WestdeutscherRundfunk(WDR) BayerischerRundfunk(BR) Südwestrundfunk(SWR) 23/5FilmproduktionGmbH SandraHüller BurghartKlaußner ImogenKogge FriederikeAdolph AnnaBlomeier NicholasReinke WalterSchmidinger Hans-ChristianSchmid BerndLange germany confession depression 1970s mentaldisease desperation becominganadult religiouseducation epilepsy mortification paranoia exorcism southerngermany siteofpilgrimage cuttingthecord pedagogics therapist daughter friendship freedom prayer delusion 
1436,"4 luni, 3 săptămîni și 2 zile","4 Months, 3 Weeks and 2 Days","Drama Română SagaFilm MobraFilms MindshareMedia CentrulNationalalCinematografiei(CNC) McCann-Erickson TeleviziuneaRomana(TVR1) HubertBalsFundoftheRotterdamFestival,The AnamariaMarinca LauraVasiliu VladIvanov AlexandruPotocean LuminițaGheorghiu AdiCarauleanu LilianaMocanu CristianMungiu CristianMungiu rape hotelroom totalitarianregime cohabitant femalefriendship dormitory bestfriend contraception romaniannewwave "
1437,Far from the Madding Crowd,Far from the Madding Crowd,Drama Romance English Metro-Goldwyn-Mayer(MGM) VicFilmsProductions JulieChristie TerenceStamp AlanBates PeterFinch FionaWalker PrunellaRansome AlisonLeggatt FredericRaphael JohnSchlesinger ThomasHardy basedonnovel jealousy shepherd rageandhate farm victorianengland farmlife country britishsoldier romanticdrama 
1438,The Hunting Party,The Hunting Party,Action Adventure Thriller Drama English Magyar  IntermediaFilms RichardGere TerrenceHoward JamesBrolin DianeKruger JesseEisenberg GoranKostić MarkIvanir RichardShepard RichardShepard civilwar spy hotel journalist journalism warcrimes hiddencamera warvictim warcorrespondent war balkanwar serbia 
1439,Eastern Promises,Eastern Promises,Thriller Crime Mystery English Pусский Türkçe Український اردو BBCFilms SerendipityPointFilms TéléfilmCanada AstralMedia ScionFilms FocusFeatures CorusEntertainment ShinePictures KudosFilmandTelevision NaomiWatts ViggoMortensen VincentCassel ArminMueller-Stahl SinéadCusack DonaldSumpter JerzySkolimowski DavidCronenberg StevenKnight londonengland gay malenudity femalenudity fathersonrelationship sex jealousy underworld undercover hitman russian diary humantrafficking midwife murder motherdaughterrelationship orphan gangster motorcycle bathhouse 
1440,Into the Wild,Into the Wild,Adventure Drama Dansk English ParamountVantage RiverRoadEntertainment ArtLinsonProductions IntotheWild EmileHirsch MarciaGayHarden WilliamHurt JenaMalone BrianH.Dierker CatherineKeener VinceVaughn SeanPenn SeanPenn JonKrakauer malenudity parentchildrelationship camping cuttingthecord self-discovery wilderness biography basedontruestory pubichair alaska journey 
1441,色‧戒,"Lust, Caution",Action Drama Romance Thriller 普通话 RiverRoadEntertainment FocusFeatures HaishangFilms TonyLeungChiu-Wai TangWei JoanChen LeehomWang AnupamKher LawrenceKo JacquelineZhuZhi-Ying AngLee JamesSchamus WangHui-Ling EileenChang sexualobsession china sex resistance japanese inlovewithenemy cheating traitor shanghai insurgence waronfreedom lover occupyingpower insurrection secretlove love extramaritalaffair resistancefighter 
1442,Postal,Postal,Action Comedy English RunningWithScissors VivendiEntertainment ZackWard DaveFoley ChrisCoppola J.K.Simmons MichaelBenyaer JackieTohn ErickAvari UweBoll UweBoll gunrampage machinegun holocaustjoke basedonvideogame personrunningamok 
1443,The Darjeeling Limited,The Darjeeling Limited,Adventure Drama Comedy English हिन्दी Deutsch  FoxSearchlightPictures ScottRudinProductions OwenWilson JasonSchwartzman AdrienBrody BillMurray AnjelicaHuston CamillaRutherford WallaceWolodarsky WesAnderson WesAnderson JasonSchwartzman RomanCoppola brotherbrotherrelationship dysfunctionalfamily india trainattendant drinkingsyrup healing steward catharsis 
1444,We Own the Night,We Own the Night,Drama Crime Thriller English Pусский ColumbiaPictures IndustryEntertainment 2929Productions JoaquinPhoenix EvaMendes AlexVeadov MarkWahlberg RobertDuvall AntoniCorone TonyMusante JamesGray JamesGray newyork fathersonrelationship nightclub gangster 
1445,Elizabeth: The Golden Age,Elizabeth: The Golden Age,Drama History Romance svenska English Español UniversalPictures StudioCanal WorkingTitleFilms CateBlanchett CliveOwen GeoffreyRush LaurenceFox TomHollander AbbieCornish RhysIfans WilliamNicholson ShekharKapur MichaelHirst england assassination spain virgin colony governance queenelizabethi religiouswar tudors execution middleages catholicism seabattle palaceintrigue 
1446,Michael Clayton,Michael Clayton,Drama Mystery Crime English CastleRockEntertainment MirageEnterprises SectionEightProductions GeorgeClooney TomWilkinson TildaSwinton SydneyPollack MichaelO'Keefe RobertPrescott DenisO'Hare TonyGilroy TonyGilroy killing restaurant chambersofabarrister scandal pretendedsuicide lawsuit carbomb businessethics crookedlawyer 
1447,Sleuth,Sleuth,Drama Thriller English SonyPicturesClassics CastleRockEntertainment TimnickFilms MandatePictures RiffRaffFilmProductions MichaelCaine JudeLaw HaroldPinter CarmelO'Sullivan KennethBranagh AnthonyShaffer KennethBranagh HaroldPinter agedifference lover(female) insurancefraud men remake millionaire resident 
1448,Lars and the Real Girl,Lars and the Real Girl,Comedy Romance Drama English Español SidneyKimmelEntertainment Metro-Goldwyn-Mayer(MGM) LarsProductions RyanGosling EmilyMortimer PaulSchneider KelliGarner LaurenAsh PatriciaClarkson R.D.Reid CraigGillespie NancyOliver garage lonewolf dyinganddeath loss delusion puppet doll 
1449,Rendition,Rendition,Drama Thriller العربية English AnonymousContent Level1Entertainment MIDFoundation OmarMetwally ReeseWitherspoon JakeGyllenhaal MoaKhouas ZinebOukach IgalNaor LailaMrabti GavinHood KelleySane antiterror terror cia lossofson policebrutality terrorist lossofbrother waragainstterror kidnapping intelligence despair inhumanity senator plo civilrightsactivist hijacking terrorcell lossofhusband politics politician government lossofdaughter torturebythepolice torture cruelty american surveillance 
1450,Things We Lost in the Fire,Things We Lost in the Fire,Drama English DreamWorksSKG NealStreetProductions DreamWorksPictures ProvinceofBritishColumbiaProductionServicesTaxCredit HalleBerry BeniciodelToro DavidDuchovny AlisonLohman SarahDubrovsky AlexisLlewellyn MicahBerry SusanneBier AllanLoeb sadness lossoffather junkie luxury heroin beauty charity funeral widow lossofhusband ersatz bestfriend womandirector 
1451,Gone Baby Gone,Gone Baby Gone,Crime Drama Mystery English MiramaxFilms TheLaddCompany CaseyAffleck MichelleMonaghan MorganFreeman EdHarris JohnAshton AmyRyan AmyMadigan BenAffleck BenAffleck DennisLehane AaronStockard JonathanWoods corruption robbery detective basedonnovel boston kidnapping blackmail police murder conspiracy gang pedophile violence drug alcoholic addict childkidnapping neo-noir 
1452,Irina Palm,Irina Palm,Drama English PallasFilm SamsaFilm IPSOFactoFilms RadioTélévisionBelgeFrancophone MarianneFaithfull Predrag'Miki'Manojlović KevinBishop SiobhanHewlett DorkaGryllus JennyAgutter CoreyBurke SamGarbarski PhilippeBlasband PhilippeBlasband MartinHerron londonengland prostitute parentchildrelationship ambulance newlove son femalefriendship hospital illegalprostitution illness 
1453,Persepolis,Persepolis,Animation Drama English Français Deutsch فارسی SonyPicturesClassics Procirep Soficinéma France3Cinéma DiaphanaFilms SoficaEuropacorp CelluloidDreams TheKennedy/MarshallCompany RégionIle-de-France CentreNationaldelaCinématographie(CNC) FondationGANpourleCinéma 2.4.7.Films FrenchConnectionAnimations SociétédesProducteursdeL'Angoa ChiaraMastroianni DanielleDarrieux CatherineDeneuve SimonAbkarian GabrielleLopesBenites FrançoisJerosme TillyMandelbrot VincentParonnaud VincentParonnaud MarjaneSatrapi MarjaneSatrapi civilwar parentchildrelationship 1970s puberty totalitarianregime cuttingthecord punk bombalarm war adultanimation punkband womandirector 
1454,The Jane Austen Book Club,The Jane Austen Book Club,Comedy Drama Romance English MockingbirdPictures JohnCalleyProductions KathyBaker MariaBello EmilyBlunt AmyBrenneman HughDancy MaggieGrace LynnRedgrave RobinSwicord RobinSwicord hippie infidelity literature book olderwomanseducesyoungerguy janeausten bookclub single teacher motherdaughterrelationship author break-up reading womandirector 
1455,Auf der anderen Seite,The Edge of Heaven,Drama English Deutsch Türkçe FilmstiftungNordrhein-Westfalen AnkaFilm DorjeFilm FilmförderungHamburg Filmförderungsanstalt(FFA) NorddeutscherRundfunk(NDR) BKM KulturelleFilmförderungSchleswig-Holstein nordmediaFondsGmbH BakiDavrak TuncelKurtiz HannaSchygulla PatryciaZiolkowska NurselKöse YeldaReynaud NurgülYeşilçay FatihAkin FatihAkin prison mother lossoflover istanbul homeland releasefromprison dyinganddeath funeral women'sprison stepmother lossofdaughter 
1456,Saw IV,Saw IV,Horror Thriller Crime English LionsGateFilms TwistedPictures TobinBell ScottPatterson CostasMandylor BetsyRussell LyriqBent LouisFerreira AthenaKarkanis DarrenLynnBousman PatrickMelton MarcusDunstan ice victim pain games psychopath blood electricchair doctor torture violence policeofficer fbiagent femalecorpse 
1457,밀양,Secret Sunshine,Drama 한국어/조선말 CinemaService JeonDo-yeon SongKang-ho ParkMyung-shin ChoYoug-jin KimYoung-jae LeeChang-dong Chong-junYi lossofson suicideattempt lossofhusband faith independentfilm southkorea 
1458,Tropa de Elite,Elite Squad,Drama Action Crime Português TheWeinsteinCompany ZazenProduções EstúdiosMega QuantaCentrodeProduçõesCinematográficas CostaFilms Posto9 FeijãoFilmes UniversalPicturesdoBrasil WagnerMoura CaioJunqueira AndréRamiro MilhemCortaz FernandaMachado MariaRibeiro FábioLago BráulioMantovani JoséPadilha JoséPadilha AndréBatista LuizEduardoSoares RodrigoPimentel slum policebrutality brazilian warondrugs riodejaneiro drugtraffic drugdealer torturebythepolice specialforces lawenforcement 
1459,Le scaphandre et le papillon,The Diving Bell and the Butterfly,Drama Français France3Cinéma TheKennedy/MarshallCompany PathéRennProductions BanquesPopulaireImage7 Canal+ CinéCinéma C.R.R.A.V.NordPasdeCalais RégionNord-Pas-de-Calais MathieuAmalric EmmanuelleSeigner Marie-JoséeCroze AnneConsigny PatrickChesnais NielsArestrup OlatzLópezGarmendia RonaldHarwood JulianSchnabel Jean-DominiqueBauby writing lover(female) psychologicalstress dyinganddeath editor-in-chief french independentfilm patient disabled 
1460,The Dawn Rider,The Dawn Rider,Action Western English LoneStarProduction MonogramPictures JohnWayne MarionBurns DennisMoore ReedHowes JosephDeGrasse YakimaCanutt EarlDwire RobertN.Bradbury RobertN.Bradbury WellynTotman LloydNosler saloon bandit 
1461,Du levande,"You, the Living",Drama Comedy Music svenska DetDanskeFilminstitut StyleJam SverigesTelevision(SVT) Canal+ ArteFranceCinéma SvenskaFilminstitutet(SFI) NordiskFilm-&TV-Fond WDR/Arte Studio24 41/2Film EurimagesCouncilofEurope PosthusTeatret HåkanAngser EricBäckman PatrikAndersEdgren BjörnEnglund LennartEriksson PärFredriksson ElisabethHelander RoyAndersson RoyAndersson hairdresser bar sweden jazz newlove balcony pickpocket airplane musical beer man-womanrelation music relation partnership alienation littleboy independentfilm storm psychiatrist musicband bluesky schoollife anarchiccomedy 
1462,예의없는 것들,No Mercy for the Rude,Action Comedy 한국어/조선말 TubePictures ShinHa-kyun YoonJi-hye KimMin-jung KangSan ParkGil-soo ParkChoong-seon KoSu-Hee Cheol-hiePark Cheol-hiePark femalenudity hitman mute hiredkiller filmnoir tragicmalecharacter 
1463,Beowulf,Beowulf,Adventure Action Animation English ParamountPictures Shangri-LaEntertainment ImageMovers ParamountAnimation RayWinstone AngelinaJolie AnthonyHopkins RobinWright JohnMalkovich BrendanGleeson CrispinGlover RobertZemeckis RogerAvary NeilGaiman denmark nordicmythology lie prideandvanity folkhero humanweakness viking alienation festivalhall sin royalty curse battle ancientworld adultanimation motioncapture 
1464,Love in the Time of Cholera,Love in the Time of Cholera,Drama Romance English NewLineCinema GrosvenorParkMediaLtd. JavierBardem UnaxUgalde BenjaminBratt CatalinaSandinoMoreno HéctorElizondo LievSchreiber FernandaMontenegro RonaldHarwood MikeNewell GabrielGarcíaMárquez sex marriageproposal newlove colombia letter loveletter dyinganddeath ship marriage cholera teacher principal doctor extramaritalaffair emotions 
1465,Southland Tales,Southland Tales,Comedy ScienceFiction Thriller English UniversalPictures DestinationFilms PersistentEntertainment WildBunch MHFZweiteAcademyFilm InfernoDistribution DarkoEntertainment EdenRocProductions CherryRoadFilms AcademyFilm DwayneJohnson SeannWilliamScott SarahMichelleGellar MandyMoore WillSasso JonLovitz BethGrant RichardKelly RichardKelly suicide brotherbrotherrelationship spy prophecy middleeast screenwriter terrorist wifehusbandrelationship nevada amnesia allegory massmurder kidnapping blackmail riot evacuation afghanistan timetravel undercoveragent marxism politics politician smuggling twinbrother movieinmovie murder surrealism balloon interracialrelationship anticonformity endoftheworld conspiracy metaphysics memory search dirtycop apocalypse losangeles terrorism paradox cultfilm doomsday nearfuture alternatereality splitpersonality bigcorporation mothersonrelationship noopeningcredits northkorea doppelganger governmentcorruption southerncalifornia alternatetimeline karma environmentalissue worldwariii mysteriouspast absurdism fourthdimension santamonicacalifornia 
1466,The Mist,The Mist,ScienceFiction Horror Thriller English DarkwoodsProductions DimensionFilms ThomasJane MarciaGayHarden LaurieHolden AndreBraugher TobyJones WilliamSadler JeffreyDeMunn StephenKing FrankDarabont FrankDarabont fathersonrelationship monster supermarket fight artist fog bible spider survivor faith prayer bloodsplatter gore giantmonster blood anger thunderstorm 
1467,Enchanted,Enchanted,Comedy Family Fantasy Romance English WaltDisneyPictures JosephsonEntertainment AndalasiaProductions RightCoastProductions AmyAdams PatrickDempsey JamesMarsden TimothySpall RachelCovey SusanSarandon IdinaMenzel KevinLima PaulBrizzi BillKelly poison queen fairytale musical princess portal animation fantasyworld evilwitch partanimation 
1468,Hitman,Hitman,Action Crime Drama Thriller English Pусский Srpski TwentiethCenturyFoxFilmCorporation DuneEntertainment AnkaFilm EuropaCorp DaybreakProductions PrimeUniverseProductions TimothyOlyphant DougrayScott OlgaKurylenko RobertKnepper UlrichThomsen HenryIanCusick MichaelOffei XavierGens SkipWoods assassin secretidentity intelligence sovietunion russia celibacy hitman secretsociety power powertakeover adversary government execution violence killer basedonvideogame secretformula 
1469,The Golden Compass,The Golden Compass,Adventure Fantasy Íslenska English Pусский Français NewLineCinema IngeniousFilmPartners DepthofField ScholasticProductions DakotaBlueRichards NicoleKidman DanielCraig SamElliott EvaGreen FreddieHighmore IanMcKellen ChrisWeitz ChrisWeitz PhilipPullman england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel 
1470,El orfanato,The Orphanage,Horror Drama Thriller Español WildBunch Telecinco TelecincoCinema TelevisiódeCatalunyaTV3 EstaVivo!LaboratoriodeNuevosTalentos GrupoRodar RodaryRodarCineyTelevisión WarnerBros.PicturesdeEspaña BelénRueda FernandoCayo RogerPríncep MabelRivera MontserratCarulla AndrésGertrúdix ÉdgarVivar JuanAntonioBayona SergioG.Sánchez schizophrenia suppressedpast wife 
1471,Goodbye Bafana,Goodbye Bafana,History Drama English  FilmAfrika JosephFiennes DennisHaysbert DianeKruger ShilohHenderson PatrickLyster BilleAugust BobGraham JamesGregory GregLatter jailguard prisoncell southafrica apartheid nelsonmandela escape xenophobia 
1472,My Blueberry Nights,My Blueberry Nights,Drama Romance English Block2Pictures JetToneProduction StudioCanal LouYiInc. NorahJones JudeLaw NataliePortman DavidStrathairn RachelWeisz CatPower FrankieFaison WongKar-wai WongKar-wai LawrenceBlock usa kaffeehaus poker lovesickness waitress bar nightlife night melancholy approach loneliness 
1473,There Will Be Blood,There Will Be Blood,Drama English MiramaxFilms GhoulardiFilmCompany ParamountVantage DanielDay-Lewis PaulDano DillonFreasier CiaránHinds KevinJ.O'Connor HopeElizabethReeves ColleenFoy PaulThomasAnderson PaulThomasAnderson UptonSinclair brotherbrotherrelationship deaf-mute americandream fanatic pipeline petrol father stepfather oil money killer alcoholic 
1474,Charlie Wilson's War,Charlie Wilson's War,Comedy Drama History العربية English Pусский اردو עִבְרִית UniversalPictures ParticipantProductions PlaytoneProduction TomHanks PhilipSeymourHoffman JuliaRoberts AmyAdams OmPuri ShiriAppleby JohnSlattery MikeNichols AaronSorkin washingtond.c. alcohol cia helicopter refugeecamp congress coldwar ladykiller rocketlauncher russian munition warinafghanistan dollar 
1475,Aliens vs Predator: Requiem,Aliens vs Predator: Requiem,Fantasy Action ScienceFiction Thriller Horror English TwentiethCenturyFoxFilmCorporation DuneEntertainment DavisEntertainment BrandywineProductions StevenPasquale ReikoAylesworth JohnOrtiz ArielGade SamTrammell KristenHager RobertJoy JimThomas JohnThomas DanO'Bannon RonaldShusett ColinStrause GregStrause ShaneSalerno predator nationalguard hybrid alien morgue alienpossession triangle infestation xenomorph 
1476,綠草地,Mongolian Ping Pong,Drama Comedy  TVProductionsLTDAndBeijingHopCultureCo Hurichabilike Dawa Geliban Yidexinnaribu Badema Wurima Dugema NingHao NingHao china tradition shepherd modernity family'sdailylife vagabund yurt pingpong inneremongolei children 
1477,P.S. I Love You,P.S. I Love You,Drama Romance English WendyFinermanProductions AlconEntertainment GrosvenorParkProductions HilarySwank GerardButler LisaKudrow HarryConnickJr. GinaGershon JeffreyDeanMorgan KathyBates RichardLaGravenese RichardLaGravenese StevenRogers CeceliaAhern job-hopping shoeseller letter dyinganddeath lossofhusband ireland 
1478,Cassandra's Dream,Cassandra's Dream,Crime Drama Thriller English VirtualStudios WildBunch IbervilleProductions ColinFarrell EwanMcGregor HayleyAtwell SallyHawkins TomWilkinson PhilDavis JohnBenfield WoodyAllen WoodyAllen lovetriangle brotherbrotherrelationship fathersonrelationship sailboat optimism restaurant restart despair missionofmurder plannedmurder hope shortageofmoney theatremilieu uncle oldtimer murder money killer car fatherfigure 
1479,In the Name of the King: A Dungeon Siege Tale,In the Name of the King: A Dungeon Siege Tale,Adventure Fantasy Action Drama English BollKinoBeteiligungsGmbH&Co.KG BrightlightPictures HeroldProductions JasonStatham JohnRhys-Davies RayLiotta LeeleeSobieski BurtReynolds RonPerlman BrianJ.White UweBoll JasonRappaport JasonRappaport DougTaylor DanStroncak fictionalplace monster lossoffamily newlove hero loveofone'slife magic fairytale villain kingdom enchantment badpower son heirtothethrone motherlylove wizardry revenge royalty family basedonvideogame medieval 
1480,L'Homme de Rio,That Man from Rio,Action Adventure Comedy Français LesProductionsArtistesAssociés Jean-PaulBelmondo FrançoiseDorléac JeanServais SimoneRenant AdolfoCeli RogerDumas DanielCeccaldi DanielBoulanger Jean-PaulRappeneau PhilippedeBroca PhilippedeBroca ArianeMnouchkine spy brazil kidnapping treasurehunt artifact farce ancient 
1481,"Clean, Shaven","Clean, Shaven",Drama Crime English DSMIII WarnerBros. PeterGreene AliceLevitt MeganOwen JenniferMacDonald MollyCastelloe RobertAlbert J.DixonByrne LodgeKerrigan LodgeKerrigan schizophrenia terror sex paranoia adoption investigation daughter murder crime illness noise mental voices humanity fragmented psyche 
1482,À nos amours,À nos amours,Drama Romance English Français Gaumont LesFilmsduLivradois France3Cinema SandrineBonnaire EvelyneKer MauricePialat DominiqueBesnehard Anne-SophieMaillé Pierre-LoupRajot MaïtéMaillé MauricePialat MauricePialat ArletteLangmann women'ssexualidentity love 
1483,The Bank Job,The Bank Job,Thriller Crime Drama English AtlasEntertainment MosaicMediaGroup OmnilabMedia RelativityMedia Skyline(BakerSt) JasonStatham SaffronBurrows StephenCampbellMoore DanielMays JamesFaulkner AlkiDavid MichaelJibson RogerDonaldson DickClement IanLaFrenais infidelity subway cardealer vault mannequin bahamas stripclub wife offer photography londonunderground basedontruestory extortion doublecross walkietalkie railwaystation jackhammer politicalcorruption bankheist cabinetofficer corruptpoliceman 
1484,Hallam Foe,Hallam Foe,Drama Comedy Thriller English JamieBell SophiaMyles CiaránHinds ClaireForlani JamieSives MauriceRoeves EwenBremner DavidMackenzie DavidMackenzie EdWhitmore sexuality newlove eroticism nightlife dyinganddeath beobachten stepmother conflict crime 
1485,裸の島,The Naked Island,Drama 日本語 KindaiEigaKyokai NobukoOtowa TaijiTonoyama ShinjiTanaka MasanoriHorimoto KanetoShindô KanetoShindô japan sea boat island willtosurvive water nodialog violence family japanesenewwave slap 
